SO2	Temp	Man	Pop	Wind	Rain	RainDay	lati	City
10	70.3	213	582	6.0	7.05	36	33.45	Phoenix
13	61.0	91	132	8.2	48.52	100	34.73	Little-Rock
12	56.7	453	716	8.7	20.66	67	37.77	San-Francisco
17	51.9	454	515	9.0	12.95	86	39.72	Denver
56	49.1	412	158	9.0	43.37	127	41.75	Hartford
36	54.0	80	80	9.0	40.25	114	34.23	Wilmington
29	57.3	434	757	9.3	38.89	111	38.88	Washington
14	68.4	136	529	8.8	54.47	116	30.37	Jacksonville
10	75.5	207	335	9.0	59.80	128	25.77	Miami
24	61.5	368	497	9.1	48.34	115	33.75	Atlanta
28	52.3	361	746	9.7	38.74	121	39.77	Indianapolis
17	49.0	104	201	11.2	30.85	103	41.58	Des-Moines
8	56.6	125	277	12.7	30.58	82	37.72	Wichita
30	55.6	291	593	8.3	43.11	123	38.25	Louisville
9	68.3	204	361	8.4	56.77	113	29.95	New-Orleans
47	55.0	625	905	9.6	41.31	111	39.30	Baltimore
29	43.5	699	744	10.6	25.94	137	44.95	Minn-St-Paul
14	54.5	381	507	10.0	37.00	99	39.10	Kansas-City
56	55.9	775	622	9.5	35.89	105	38.63	St-Louis
14	51.5	181	347	10.9	30.18	98	41.25	Omaha
11	56.8	46	244	8.9	7.77	58	35.08	Albuquerque
46	47.6	44	116	8.8	33.36	135	42.65	Albany
11	47.1	391	463	12.4	36.11	166	42.95	Buffalo
23	54.0	462	453	7.1	39.04	132	39.13	Cincinnati
26	51.5	266	540	8.6	37.01	134	39.95 	Columbus
61	50.4	347	520	9.4	36.22	147	40.45	Pittsburgh
94	50.0	343	179	10.6	42.75	125	41.83	Providence
10	61.6	337	624	9.2	49.10	105	35.15	Memphis
18	59.4	275	448	7.9	46.00	119	36.17	Nashville
9	66.2	641	844	10.9	35.94	78	32.77	Dallas
28	51.0	137	176	8.7	15.17	89	40.77	SLC
31	59.3	96	308	10.6	44.68	116	36.85	Norfolk
26	57.8	197	299	7.6	42.59	115	37.55	Richmond
29	51.1	379	531	9.4	38.79	164	47.62	Seattle
31	55.2	35	71	6.5	40.75	148	38.35	Charleston
16	45.7	569	717	11.8	29.07	123	43.03	Milwaukee
